Case Number,Law Enforcement Case Number,Date of Crash,Y-Coordinate (UTM NAD 83 Zone 15),X-Coordinate (UTM NAD 83 Zone 15),Time,Day of Week,County,Road System,Route,Cardinal Direction of Vehicles,Mainline or Ramp,Overpass/Underpass Information,Derived Literal Description,Road Classification,Intersection Class,Crash Severity,Amount of Property Damage,Major Cause,Drug or Alcohol Related,Driver Age,Driver Age - 5 year Bins,Driver Gender
20191091027,19000863,20190111,4576230,548413,21:54,Friday,Mahaska,Iowa Route,92,Both East and West,Mainline,Not reported,IA 92/IOWA 92,Iowa Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,25000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),44,>= 40 and <= 44,Male
20191091041,2019000973,20190111,4694125,452054,09:30,Friday,Hamilton,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd R61/UBBEN AVE,Secondary Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,2000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),22,>= 21 and <= 24,Male
20191091053,19-000064,20190112,4650399,451480,02:54,Saturday,Story,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SE 18TH ST,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,1000,Driver Distraction:  Other interior distraction,Alcohol (Statutory),18,= 18,Male
20191091101,2019-000302,20190113,4706807,690823,02:33,Sunday,Dubuque,US Route,20,Westbound (WB),Mainline,On overpass,US 20/DODGE ST & HILL ST & BRYANT ST,US Route,US Route - Municipal,Property Damage Only,5250,Lost control,Under Influence of Alcohol/Drugs/Medications,21,>= 21 and <= 24,Female
20191091126,19-1249,20190112,4710394,219726,01:38,Saturday,Woodbury,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,WESLEY PKWY,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,16500,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,41,>= 40 and <= 44,Not reported
20191091126,19-1249,20190112,4710394,219726,01:38,Saturday,Woodbury,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,WESLEY PKWY,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,16500,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,36,>= 35 and <= 39,Female
20191091159,BV19-0011,20190107,4727471,311616,11:47,Monday,Buena Vista,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd C49/580TH ST & 55TH AVE & LAKE ST & NE 1ST ST,Secondary Road,Secondary - Municipal,Property Damage Only,15000,Ran off road - left,Refused,33,>= 30 and <= 34,Male
20191091159,BV19-0011,20190107,4727471,311616,11:47,Monday,Buena Vista,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd C49/580TH ST & 55TH AVE & LAKE ST & NE 1ST ST,Secondary Road,Secondary - Municipal,Property Damage Only,15000,Ran off road - left,Refused,35,>= 35 and <= 39,Male
20191091208,19-00200,20190112,4601624,426626,16:09,Saturday,Dallas,Interstate,80,Eastbound (EB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,4500,Driving too fast for conditions,Refused,60,>= 60 and <= 64,Male
20191091215,201900001893,20190112,4539977,548900,02:01,Saturday,Wapello,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,CHURCH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5500,Driving too fast for conditions,Refused,31,>= 30 and <= 34,Male
20191091344,19-000666,20190112,4753858,240719,23:36,Saturday,Plymouth,US Route,75,Both North and South,Mainline,Not reported,US 75,US Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,7500,Crossed centerline (undivided),Alcohol (Statutory),22,>= 21 and <= 24,Male
20191091344,19-000666,20190112,4753858,240719,23:36,Saturday,Plymouth,US Route,75,Both North and South,Mainline,Not reported,US 75,US Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,7500,Crossed centerline (undivided),Alcohol (Statutory),25,>= 25 and <= 29,Female
20191091345,19000667,20190112,4752285,240684,23:36,Saturday,Plymouth,US Route,75,Both North and South,Mainline,Not reported,US 75,US Route,Not Indicated as an Intersection,Suspected Serious Injury Crash,15000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),18,= 18,Male
20191091345,19000667,20190112,4752285,240684,23:36,Saturday,Plymouth,US Route,75,Both North and South,Mainline,Not reported,US 75,US Route,Not Indicated as an Intersection,Suspected Serious Injury Crash,15000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),22,>= 21 and <= 24,Male
20191091548,2019000004,20190101,4792120,440458,02:21,Tuesday,Winnebago,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,120TH AVE,Secondary Road,Not Indicated as an Intersection,Suspected Serious Injury Crash,22000,Crossed centerline (undivided),Drug/Alcohol (Statutory),19,= 19,Male
20191091548,2019000004,20190101,4792120,440458,02:21,Tuesday,Winnebago,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,120TH AVE,Secondary Road,Not Indicated as an Intersection,Suspected Serious Injury Crash,22000,Crossed centerline (undivided),Drug/Alcohol (Statutory),20,= 20,Male
20191091562,19-002357,20190115,4569465,257469,19:44,Tuesday,Pottawattamie,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,BASS PRO DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8000,Followed too close,Alcohol (Statutory),45,>= 45 and <= 49,Male
20191091562,19-002357,20190115,4569465,257469,19:44,Tuesday,Pottawattamie,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,BASS PRO DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8000,Followed too close,Alcohol (Statutory),46,>= 45 and <= 49,Male
20191091565,19001291,20190115,4654426,616037,16:39,Tuesday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,7TH AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,4000,Driver Distraction:  Other interior distraction,Alcohol (Statutory),28,>= 25 and <= 29,Male
20191091565,19001291,20190115,4654426,616037,16:39,Tuesday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,7TH AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,4000,Driver Distraction:  Other interior distraction,Alcohol (Statutory),200,,Not reported
20191091648,20190001425,20190116,4603687,447253,02:50,Wednesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MULBERRY ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5700,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),22,>= 21 and <= 24,Female
20191091648,20190001425,20190116,4603687,447253,02:50,Wednesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MULBERRY ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5700,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191091648,20190001425,20190116,4603687,447253,02:50,Wednesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MULBERRY ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5700,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191091676,19-1660,20190116,4711076,222413,01:37,Wednesday,Woodbury,Iowa Route,376,Northbound (NB),Mainline,Not reported,IA 376/LEWIS BLVD,Iowa Route,Not Indicated as an Intersection,Property Damage Only,4000,Ran off road - right,Alcohol (Statutory),26,>= 25 and <= 29,Male
20191091713,S19-680,20190114,4707196,244236,14:23,Monday,Woodbury,US Route,20,Westbound (WB),Mainline,Not reported,US 20,US Route,Not Indicated as an Intersection,Possible/Unknown Injury Crash,10000,Ran off road - left,Alcohol (Statutory),57,>= 55 and <= 59,Male
20191091797,CLP19000176,20190116,4637923,731466,20:45,Wednesday,Clinton,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,13TH AVE N & N 11TH ST & 11TH ST NW,Municipal Road,Municipal - Municipal,Property Damage Only,3500,Made improper turn,Refused,46,>= 45 and <= 49,Female
20191091797,CLP19000176,20190116,4637923,731466,20:45,Wednesday,Clinton,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,13TH AVE N & N 11TH ST & 11TH ST NW,Municipal Road,Municipal - Municipal,Property Damage Only,3500,Made improper turn,Refused,51,>= 50 and <= 54,Female
20191091832,2019-659,20190116,4613171,702523,04:11,Wednesday,Scott,US Route,61,Northbound (NB),Mainline,Not reported,US 61,US Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,17000,Driver Distraction:  Other interior distraction,Alcohol (Statutory),21,>= 21 and <= 24,Male
20191091832,2019-659,20190116,4613171,702523,04:11,Wednesday,Scott,US Route,61,Northbound (NB),Mainline,Not reported,US 61,US Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,17000,Driver Distraction:  Other interior distraction,Alcohol (Statutory),50,>= 50 and <= 54,Female
20191091874,2019001432,20190115,4596644,308531,16:45,Tuesday,Pottawattamie,Interstate,80,Eastbound (EB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Suspected Minor Injury Crash,7000,Ran off road - left,Refused,38,>= 35 and <= 39,Not reported
20191091907,2019001047,20190111,4654570,593502,13:32,Friday,Benton,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd W26/32 AVE,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,10000,Ran off road - right,Alcohol (Statutory),37,>= 35 and <= 39,Female
20191091991,2019-1168,20190113,4600237,709272,22:04,Sunday,Scott,US Route,67,No Travel Direction Consistent with Route,Mainline,Not reported,US 67/STATE ST & 29TH ST,US Route,US Route - Municipal,Possible/Unknown Injury Crash,3000,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,34,>= 30 and <= 34,Female
20191091991,2019-1168,20190113,4600237,709272,22:04,Sunday,Scott,US Route,67,No Travel Direction Consistent with Route,Mainline,Not reported,US 67/STATE ST & 29TH ST,US Route,US Route - Municipal,Possible/Unknown Injury Crash,3000,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,62,>= 60 and <= 64,Male
20191092018,PDI20190052,20190114,4617482,522695,14:23,Monday,Poweshiek,Iowa Route,146,Southbound (SB),Mainline,Not reported,IA 146/WEST ST & BLAKELY CIR,Iowa Route,IA Route - Municipal,Property Damage Only,3000,Exceeded authorized speed,Alcohol (Statutory),45,>= 45 and <= 49,Male
20191092018,PDI20190052,20190114,4617482,522695,14:23,Monday,Poweshiek,Iowa Route,146,Southbound (SB),Mainline,Not reported,IA 146/WEST ST & BLAKELY CIR,Iowa Route,IA Route - Municipal,Property Damage Only,3000,Exceeded authorized speed,Alcohol (Statutory),30,>= 30 and <= 34,Female
20191092130,201800534,20190118,4652489,424439,23:45,Friday,Boone,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MONTANA RD,Secondary Road,Not Indicated as an Intersection,Property Damage Only,10000,Driving too fast for conditions,Refused,40,>= 40 and <= 44,Male
20191092133,19000883,20190118,4606789,645848,04:06,Friday,Cedar,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd X40/GARFIELD AVE,Secondary Road,Not Indicated as an Intersection,Property Damage Only,5200,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),43,>= 40 and <= 44,Male
20191092209,2019-02222,20190119,4618990,713667,19:30,Saturday,Scott,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd Z30/240 AVE,Secondary Road,Not Indicated as an Intersection,Property Damage Only,2500,Ran off road - left,Alcohol (Statutory),30,>= 30 and <= 34,Not reported
20191092215,2019-5225,20190119,4601477,705839,04:11,Saturday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E LOCUST ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5000,Lost control,Under Influence of Alcohol/Drugs/Medications,23,>= 21 and <= 24,Male
20191092228,19-00347,20190120,4604837,438658,01:27,Sunday,Polk,Interstate,235,Westbound (WB),Mainline,Not reported,I-235,Interstate,Not Indicated as an Intersection,Suspected Minor Injury Crash,5000,Lost control,Refused,22,>= 21 and <= 24,Not reported
20191092244,S19-000187,20190120,4567847,281117,03:30,Sunday,Pottawattamie,Iowa Route,92,Both East and West,Mainline,Not reported,IA 92/E MAIN ST,Iowa Route,Not Indicated as an Intersection,Property Damage Only,7000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191092244,S19-000187,20190120,4567847,281117,03:30,Sunday,Pottawattamie,Iowa Route,92,Both East and West,Mainline,Not reported,IA 92/E MAIN ST,Iowa Route,Not Indicated as an Intersection,Property Damage Only,7000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),24,>= 21 and <= 24,Male
20191092252,19-170120-01,20190120,4616336,571280,02:25,Sunday,Iowa,Interstate,80,Westbound (WB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,6900,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),22,>= 21 and <= 24,Female
20191092322,19011307,20190120,4625256,612533,23:15,Sunday,Johnson,Interstate,380,Southbound (SB),Mainline,Not reported,I-380,Interstate,Not Indicated as an Intersection,Property Damage Only,15000,Failed to keep in proper lane,Alcohol (Statutory),34,>= 30 and <= 34,Male
20191092336,W19-004956,20190119,4702095,552860,22:09,Saturday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,W RIDGEWAY AVE & E RIDGEWAY AVE & KIMBALL AVE,Municipal Road,Municipal - Municipal,Possible/Unknown Injury Crash,0,Other,Alcohol (Statutory),40,>= 40 and <= 44,Male
20191092336,W19-004956,20190119,4702095,552860,22:09,Saturday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,W RIDGEWAY AVE & E RIDGEWAY AVE & KIMBALL AVE,Municipal Road,Municipal - Municipal,Possible/Unknown Injury Crash,0,Other,Alcohol (Statutory),24,>= 21 and <= 24,Male
20191092340,2019-01936,20190119,4594134,449961,20:07,Saturday,Warren,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E BORDER ST,Secondary Road,Not Indicated as an Intersection,Property Damage Only,1500,Ran off road - right,Alcohol (Statutory),33,>= 30 and <= 34,Female
20191092405,201901022,20190119,4651962,610892,10:31,Saturday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,CENTER ST NE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,14000,Driving too fast for conditions,Refused,200,,Not reported
20191092405,201901022,20190119,4651962,610892,10:31,Saturday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,CENTER ST NE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,14000,Driving too fast for conditions,Refused,33,>= 30 and <= 34,Male
20191092430,201900932,20190117,4655899,611043,17:58,Thursday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,COUNCIL ST NE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2000,Lost control,Alcohol (Statutory),30,>= 30 and <= 34,Female
20191092430,201900932,20190117,4655899,611043,17:58,Thursday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,COUNCIL ST NE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2000,Lost control,Alcohol (Statutory),35,>= 35 and <= 39,Female
20191092432,201900949,20190118,4652300,609262,02:18,Friday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,LOCKWOOD DR NE & GLASS RD NE,Municipal Road,Municipal - Municipal,Property Damage Only,5500,Ran off road - right,Alcohol (Statutory),28,>= 25 and <= 29,Female
20191092434,201901013,20190119,4646379,608778,02:17,Saturday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,16TH AVE SW,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,15050,Driving too fast for conditions,Refused,29,>= 25 and <= 29,Male
20191092480,19000406,20190112,4588080,326338,00:25,Saturday,Cass,Iowa Route,83,Eastbound (EB),Mainline,Not reported,IA 83/MARNE RD,Iowa Route,Not Indicated as an Intersection,Possible/Unknown Injury Crash,20000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),35,>= 35 and <= 39,Male
20191092480,19000406,20190112,4588080,326338,00:25,Saturday,Cass,Iowa Route,83,Eastbound (EB),Mainline,Not reported,IA 83/MARNE RD,Iowa Route,Not Indicated as an Intersection,Possible/Unknown Injury Crash,20000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),34,>= 30 and <= 34,Male
20191092492,2019001095,20190112,4810049,482132,04:59,Saturday,Worth,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,1ST AVE S & 8TH ST S,Municipal Road,Municipal - Municipal,Suspected Minor Injury Crash,23050,Exceeded authorized speed,Alcohol (Statutory),19,= 19,Male
20191092564,19001809,20190121,4655132,615931,18:17,Monday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,10TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,14000,Lost control,Alcohol (Statutory),44,>= 40 and <= 44,Male
